id,sentiment
"12311_10",0
"8348_2",1
"5828_4",1
"7186_2",0
"12128_7",1
"2913_8",1
"4396_1",0
"395_2",0
"10616_1",0
"9074_9",0
"9252_3",0
"9896_9",0
"574_4",1
"11182_8",1
"11656_4",1
"2322_4",0
"8703_1",1
"7483_1",1
"6007_10",1
"12424_4",0
"4672_1",0
"10841_3",0
"8954_7",0
"7392_1",1
"10288_8",0
"5343_4",0
"4950_1",0
"9257_4",0
"8689_3",1
"4480_2",1
"9286_10",0
"12245_10",1
"7529_7",0
"4_4",0
"5299_2",0
"12077_8",1
"10701_2",0
"11579_1",0
"10993_1",0
"8913_1",0
"1350_3",1
"3804_2",0
"5025_3",0
"5170_8",0
"8225_8",1
"6427_7",0
"3165_3",0
"7902_9",1
"8208_3",0
"3577_8",1
"4865_1",0
"9063_3",1
"1106_1",1
"1117_9",0
"1050_4",0
"10755_9",0
"2729_8",1
"10072_10",1
"2904_7",1
"4584_2",0
"189_4",0
"6302_4",0
"8138_9",0
"1262_1",0
"2199_10",0
"6551_7",1
"8082_7",1
"4897_8",1
"7360_1",0
"11012_10",1
"12046_1",0
"2331_2",0
"8961_9",1
"751_7",1
"9884_10",1
"10016_8",1
"8023_10",0
"2628_1",0
"5832_1",0
"7302_1",0
"4501_3",0
"1121_7",1
"8334_3",0
"9789_10",1
"4230_10",0
"824_4",0
"6803_9",1
"3086_7",0
"1135_8",0
"10136_1",0
"11129_3",0
"2072_8",0
"9501_7",1
"319_10",0
"1693_7",0
"10886_1",0
"9406_8",1
"10376_10",0
"9902_1",1
"9938_8",0
"7080_9",1
"11944_8",0
"5249_1",0
"9599_2",1
"9620_1",1
"11244_1",0
"6841_10",1
"10050_4",1
"10512_9",1
"11327_3",0
"10681_8",1
"808_3",0
"546_7",0
"10765_1",0
"7189_9",0
"6005_9",1
"11915_9",1
"5740_10",0
"7097_10",1
"9573_10",1
"5084_4",0
"12332_7",0
"8154_1",0
"5610_1",0
"5323_9",0
"11034_8",1
"3977_2",1
"12380_7",1
"1737_8",1
"6030_9",1
"5918_7",1
"7061_9",0
"266_8",0
"1375_10",1
"8648_3",0
"10146_10",0
"4578_10",1
"4685_8",0
"11843_9",0
"5467_10",1
"10140_10",0
"7721_8",0
"11208_10",0
"1063_10",0
"8260_10",1
"3182_9",1
"2797_8",1
"7613_2",1
"11624_4",0
"4847_10",0
"10684_7",0
"6312_1",0
"4925_3",0
"4125_1",1
"2394_10",0
"12105_10",1
"7812_1",0
"1061_8",0
"9343_3",1
"7696_10",0
"9355_10",1
"782_9",0
"9882_10",1
"10642_10",0
"7410_2",0
"9591_4",0
"11902_3",0
"3495_7",0
"6733_1",0
"4552_1",0
"6722_1",0
"188_10",0
"5099_10",0
"10313_1",0
"6756_9",0
"6622_2",1
"4807_10",0
"7173_3",1
"11321_8",0
"7909_9",0
"8012_7",0
"8615_4",1
"8117_10",0
"1892_10",1
"4617_1",0
"1893_8",0
"5435_1",0
"162_3",1
"6516_10",1
"11588_7",0
"2006_1",0
"1594_4",0
"1472_1",1
"3647_1",1
"174_7",1
"5539_7",0
"3384_10",1
"3811_4",1
"4079_8",0
"1179_7",0
"3069_9",1
"3769_8",0
"9247_10",1
"10434_1",0
"1147_10",0
"5344_7",1
"8073_10",0
"7833_3",0
"8370_1",1
"9007_8",0
"6624_7",1
"6683_3",0
"12275_7",0
"11927_8",1
"1560_10",0
"1325_9",1
"3548_8",0
"607_1",0
"6702_7",1
"5702_3",0
"11345_8",1
"3428_4",1
"7209_9",1
"8425_8",1
"3087_1",0
"1119_8",0
"5715_3",0
"8645_1",0
"2149_3",0
"10403_10",0
"5628_1",0
"5570_10",0
"1613_3",0
"1454_4",1
"5094_3",0
"7982_1",0
"6894_2",0
"6554_1",0
"4721_3",0
"6904_4",1
"893_8",0
"4605_4",0
"11516_7",0
"11718_7",1
"5956_1",0
"7455_9",0
"6396_4",0
"1223_8",0
"8556_1",1
"6108_8",1
